FSM_ID FSMStates FSMInputs FSMOutputs FSMSize W_Time W_Memory SIS_Tr SIS_Size SIS_Cost TS_Size TS_Cost Algorithm
78 10 6 6 60 0 0.9375 3264 60 144 420 1368 MWA
79 10 6 6 60 0 0.808594 525 1 34 121 502 OWA
79 10 6 6 60 0 0.9375 3306 70 208 490 1876 CWA
79 10 6 6 60 0 0.9375 3306 60 144 420 1368 MWA
80 10 6 6 60 0 0.847656 537 1 72 241 1032 OWA
80 10 6 6 60 0 0.9375 3351 70 215 490 1925 CWA
80 10 6 6 60 0 0.9375 3351 60 150 420 1410 MWA
81 10 6 6 60 0 0.800781 541 1 34 121 502 OWA
81 10 6 6 60 0 0.9375 3393 60 184 420 1648 CWA
81 10 6 6 60 0 0.867188 3393 60 144 420 1368 MWA
82 10 6 6 60 0 0.808594 549 1 38 121 506 OWA
82 10 6 6 60 0 0.855469 3435 70 208 490 1876 CWA
82 10 6 6 60 0 0.9375 3435 60 144 420 1368 MWA
83 10 6 6 60 0 0.808594 555 1 46 181 700 OWA
83 10 6 6 60 0 0.855469 3474 70 201 490 1827 CWA
83 10 6 6 60 0 0.9375 3474 60 138 420 1326 MWA
84 10 6 6 60 0 0.78125 564 1 39 121 507 OWA
84 10 6 6 60 0 0.871094 3516 60 184 420 1648 CWA
84 10 6 6 60 0 0.9375 3516 60 144 420 1368 MWA
85 10 6 6 60 0 0.855469 573 1 49 181 757 OWA
85 10 6 6 60 0 0.871094 3564 60 196 420 1732 CWA
85 10 6 6 60 0 0.9375 3564 60 156 420 1452 MWA
86 10 6 6 60 0 0.789062 589 1 66 181 798 OWA
86 10 6 6 60 0 0.859375 3606 70 208 490 1876 CWA
86 10 6 6 60 0 0.9375 3606 60 144 420 1368 MWA
87 10 6 6 60 0 0.808594 596 1 47 181 719 OWA
87 10 6 6 60 0 0.859375 3648 60 184 420 1648 CWA
87 10 6 6 60 0 0.9375 3648 60 144 420 1368 MWA
88 10 6 6 60 0 0.796875 599 1 33 121 513 OWA
88 10 6 6 60 0 0.859375 3693 80 240 560 2160 CWA
88 10 6 6 60 0 0.9375 3693 60 150 420 1410 MWA
89 10 6 6 60 0 0.871094 602 1 33 121 501 OWA
89 10 6 6 60 0 0.9375 3735 70 208 490 1876 CWA
89 10 6 6 60 0 0.9375 3735 60 144 420 1368 MWA
90 10 6 6 60 0 0.871094 618 1 66 181 798 OWA
90 10 6 6 60 0 0.84375 3777 70 208 490 1876 CWA
90 10 6 6 60 0 0.9375 3777 60 144 420 1368 MWA
91 10 6 6 60 0 0.792969 630 1 62 181 776 OWA
91 10 6 6 60 0 0.863281 3816 70 201 490 1827 CWA
91 10 6 6 60 0 0.9375 3816 60 138 420 1326 MWA
92 10 6 6 60 0 0.890625 634 1 34 121 502 OWA
92 10 6 6 60 0 0.9375 3858 60 184 420 1648 CWA
92 10 6 6 60 0 0.9375 3858 60 144 420 1368 MWA
93 10 6 6 60 0 0.804688 642 1 38 121 506 OWA
93 10 6 6 60 0 0.855469 3900 60 184 420 1648 CWA
93 10 6 6 60 0 0.855469 3900 60 144 420 1368 MWA
94 10 6 6 60 0 0.808594 649 1 37 121 493 OWA
94 10 6 6 60 0 0.9375 3939 70 201 490 1827 CWA
94 10 6 6 60 0 0.9375 3939 60 138 420 1326 MWA
95 10 6 6 60 0 0.832031 658 1 59 181 791 OWA
95 10 6 6 60 0 0.832031 3981 70 198 490 1806 CWA
95 10 6 6 60 0 0.9375 3981 60 144 420 1368 MWA
97 10 6 6 60 0 0.796875 668 1 40 121 496 OWA
97 10 6 6 60 0 0.855469 4020 70 201 490 1827 CWA
97 10 6 6 60 0 0.9375 4020 60 138 420 1326 MWA
98 10 6 6 60 0 0.796875 674 1 46 181 700 OWA
98 10 6 6 60 0 0.855469 4059 70 201 490 1827 CWA
98 10 6 6 60 0 0.933594 4059 60 138 420 1326 MWA
99 10 6 6 60 0 0.9375 688 1 64 181 760 OWA
99 10 6 6 60 0 0.9375 4095 60 172 420 1564 CWA
99 10 6 6 60 0 0.9375 4095 60 132 420 1284 MWA
0 10 7 7 70 0 0.832031 700 1 42 141 574 OWA
0 10 7 7 70 0 0.9375 4134 80 214 640 2272 CWA
0 10 7 7 70 0 0.9375 4134 70 161 560 1778 MWA
1 10 7 7 70 0 0.832031 706 1 46 141 648 OWA
1 10 7 7 70 0 0.9375 4173 70 181 560 1938 CWA
1 10 7 7 70 0 0.9375 4173 70 161 560 1778 MWA
2 10 7 7 70 0 0.832031 711 1 45 211 787 OWA
2 10 7 7 70 0 0.9375 4209 60 162 480 1716 CWA
2 10 7 7 70 0 0.9375 4209 70 154 560 1722 MWA
3 10 7 7 70 0 0.902344 719 1 38 141 570 OWA
3 10 7 7 70 0 0.9375 4248 80 214 640 2272 CWA
3 10 7 7 70 0 0.9375 4248 70 161 560 1778 MWA
4 10 7 7 70 0 0.832031 728 1 39 141 571 OWA
4 10 7 7 70 0 0.9375 4287 70 191 560 2018 CWA
4 10 7 7 70 0 0.9375 4287 70 161 560 1778 MWA
5 10 7 7 70 0 0.902344 734 1 46 211 830 OWA
5 10 7 7 70 0 0.867188 4329 80 222 640 2336 CWA
5 10 7 7 70 0 0.9375 4329 70 168 560 1834 MWA
6 10 7 7 70 0 0.832031 743 1 49 211 812 OWA
6 10 7 7 70 0 0.9375 4368 80 214 640 2272 CWA
6 10 7 7 70 0 0.941406 4368 70 161 560 1778 MWA
7 10 7 7 70 0 0.804688 745 1 22 71 323 OWA
7 10 7 7 70 0 0.972656 4407 70 191 560 2018 CWA
7 10 7 7 70 0 0.972656 4407 70 161 560 1778 MWA
8 10 7 7 70 0 0.867188 746 1 41 211 825 OWA
8 10 7 7 70 0 0.972656 4449 70 198 560 2074 CWA
8 10 7 7 70 0 0.972656 4449 70 168 560 1834 MWA
9 10 7 7 70 0 0.972656 750 1 44 211 807 OWA
9 10 7 7 70 0 0.972656 4488 80 214 640 2272 CWA
9 10 7 7 70 0 0.972656 4488 70 161 560 1778 MWA
10 10 7 7 70 0 0.859375 757 1 27 71 328 OWA
10 10 7 7 70 0 0.972656 4527 70 191 560 2018 CWA
10 10 7 7 70 0 0.972656 4527 70 161 560 1778 MWA
11 10 7 7 70 0 0.8125 759 1 22 71 323 OWA
11 10 7 7 70 0 0.867188 4566 70 191 560 2018 CWA
11 10 7 7 70 0 0.972656 4566 70 161 560 1778 MWA
12 10 7 7 70 0 0.828125 765 1 36 141 568 OWA
12 10 7 7 70 0 0.871094 4605 80 214 640 2272 CWA
12 10 7 7 70 0 0.972656 4605 70 161 560 1778 MWA
13 10 7 7 70 0 0.804688 771 1 36 141 582 OWA
13 10 7 7 70 0 0.972656 4647 80 222 640 2336 CWA
13 10 7 7 70 0 0.972656 4647 70 168 560 1834 MWA
14 10 7 7 70 0 0.820312 774 1 33 141 551 OWA
14 10 7 7 70 0 0.972656 4683 70 184 560 1962 CWA
14 10 7 7 70 0 0.972656 4683 70 154 560 1722 MWA
15 10 7 7 70 0 0.804688 786 1 42 141 602 OWA
15 10 7 7 70 0 0.972656 4728 80 230 640 2400 CWA
15 10 7 7 70 0 0.972656 4728 70 175 560 1890 MWA
16 10 7 7 70 0 0.867188 795 1 59 211 913 OWA
16 10 7 7 70 0 0.972656 4770 70 198 560 2074 CWA
16 10 7 7 70 0 0.972656 4770 70 168 560 1834 MWA
17 10 7 7 70 0 0.804688 800 1 35 141 581 OWA
17 10 7 7 70 0 0.972656 4812 80 232 640 2416 CWA
17 10 7 7 70 0 0.972656 4812 70 168 560 1834 MWA
18 10 7 7 70 0 0.867188 807 1 37 141 583 OWA
18 10 7 7 70 0 0.972656 4854 80 222 640 2336 CWA
18 10 7 7 70 0 0.972656 4854 70 168 560 1834 MWA
19 10 7 7 70 0 0.796875 811 1 34 141 566 OWA
19 10 7 7 70 0 0.972656 4893 80 214 640 2272 CWA
19 10 7 7 70 0 0.972656 4893 70 161 560 1778 MWA
20 10 7 7 70 0 0.808594 817 1 36 141 596 OWA
20 10 7 7 70 0 0.972656 4938 80 230 640 2400 CWA
20 10 7 7 70 0 0.972656 4938 70 175 560 1890 MWA
21 10 7 7 70 0 0.800781 825 1 38 141 654 OWA
21 10 7 7 70 0 0.972656 4995 80 262 640 2656 CWA
21 10 7 7 70 0 0.972656 4995 70 203 560 2114 MWA
22 10 7 7 70 0 0.835938 834 1 39 141 571 OWA
22 10 7 7 70 0 0.972656 5034 80 224 640 2352 CWA
22 10 7 7 70 0 0.972656 5034 70 161 560 1778 MWA
23 10 7 7 70 0 0.824219 841 1 37 141 611 OWA
23 10 7 7 70 0 0.972656 5082 80 238 640 2464 CWA
23 10 7 7 70 0 0.972656 5082 70 182 560 1946 MWA
24 10 7 7 70 0 0.835938 849 1 48 211 790 OWA
24 10 7 7 70 0 0.972656 5118 70 184 560 1962 CWA
24 10 7 7 70 0 0.972656 5118 70 154 560 1722 MWA
25 10 7 7 70 0 0.859375 862 1 73 281 1165 OWA
25 10 7 7 70 0 0.890625 5160 70 198 560 2074 CWA
25 10 7 7 70 0 0.972656 5160 70 168 560 1834 MWA
26 10 7 7 70 0 0.890625 867 1 35 141 623 OWA
26 10 7 7 70 0 0.972656 5211 80 246 640 2528 CWA
26 10 7 7 70 0 0.972656 5211 70 189 560 2002 MWA
27 10 7 7 70 0 0.824219 876 1 59 281 1025 OWA
27 10 7 7 70 0 0.972656 5247 70 184 560 1962 CWA
27 10 7 7 70 0 0.972656 5247 70 154 560 1722 MWA
28 10 7 7 70 0 0.871094 884 1 38 141 542 OWA
28 10 7 7 70 0 0.972656 5280 70 177 560 1906 CWA
28 10 7 7 70 0 0.972656 5280 70 147 560 1666 MWA
29 10 7 7 70 0 0.847656 892 1 38 141 556 OWA
29 10 7 7 70 0 0.917969 5316 80 206 640 2208 CWA
29 10 7 7 70 0 0.972656 5316 70 154 560 1722 MWA
30 10 7 7 70 0 0.890625 899 1 57 211 869 OWA
30 10 7 7 70 0 0.972656 5352 80 206 640 2208 CWA
30 10 7 7 70 0 1.00781 5352 70 154 560 1722 MWA
31 10 7 7 70 0 0.90625 906 1 37 141 583 OWA
31 10 7 7 70 0 1.00781 5394 80 222 640 2336 CWA
31 10 7 7 70 0 1.00781 5394 70 168 560 1834 MWA
32 10 7 7 70 0 0.871094 909 1 33 141 579 OWA
32 10 7 7 70 0 0.953125 5436 70 198 560 2074 CWA
32 10 7 7 70 0 1.00781 5436 70 168 560 1834 MWA
33 10 7 7 70 0 0.875 916 1 37 141 569 OWA
33 10 7 7 70 0 0.921875 5475 70 191 560 2018 CWA
33 10 7 7 70 0 0.953125 5475 70 161 560 1778 MWA
34 10 7 7 70 0 0.890625 927 1 51 211 814 OWA
34 10 7 7 70 0 0.953125 5514 70 191 560 2018 CWA
34 10 7 7 70 0 1.00781 5514 70 161 560 1778 MWA
35 10 7 7 70 0 0.921875 936 1 59 211 913 OWA
35 10 7 7 70 0 0.953125 5556 70 198 560 2074 CWA
35 10 7 7 70 0 1.00781 5556 70 168 560 1834 MWA
36 10 7 7 70 0 0.867188 938 1 32 141 578 OWA
36 10 7 7 70 0 0.953125 5598 70 198 560 2074 CWA
36 10 7 7 70 0 1.00781 5598 70 168 560 1834 MWA
37 10 7 7 70 0 0.867188 939 1 41 211 804 OWA
37 10 7 7 70 0 0.921875 5637 70 191 560 2018 CWA
37 10 7 7 70 0 0.953125 5637 70 161 560 1778 MWA
38 10 7 7 70 0 0.871094 941 1 42 211 784 OWA
38 10 7 7 70 0 0.953125 5673 70 184 560 1962 CWA
